#Xaxis_A2  YlengthA2  discharge_A2  dischargeEFF_A2  dischargeINEFF_A2  rech_Moulin_A2  rech_meltR_A2  P_A2
67.9688    20000      1.0296        0.000318327      1.02928            1.02356         0.00549668     3.48039
68.2812    20000      1.01957       0.000312377      1.01926            1.01363         0.00541116     3.48299
68.5938    20000      1.00954       0.000306498      1.00923            1.00369         0.00532641     3.48563
68.9062    20000      0.999511      0.000300691      0.99921            0.99375         0.00524242     3.4883
69.2188    20000      0.989482      0.000294955      0.989187           0.983813        0.0051592      3.49101
69.5312    20000      0.979454      0.000289288      0.979165           0.973875        0.00507673     3.49376
69.8438    20000      0.969427      0.000283691      0.969143           0.963938        0.00499502     3.49654
70.1562    20000      0.9594        0.000278164      0.959122           0.954           0.00491406     3.49935
70.4688    20000      0.949374      0.000272704      0.949102           0.944063        0.00483384     3.50221
70.7812    20000      0.93935       0.000267312      0.939082           0.934125        0.00475436     3.5051
71.0938    20000      0.929326      0.000261988      0.929064           0.924188        0.00467562     3.50803
71.4062    20000      0.919302      0.000256731      0.919046           0.91425         0.00459762     3.511
71.7188    20000      0.90928       0.00025154       0.909028           0.904313        0.00452034     3.51401
72.0312    20000      0.899258      0.000246414      0.899012           0.894375        0.00444379     3.51706
72.3438    20000      0.889237      0.000241354      0.888996           0.884438        0.00436796     3.52015
72.6562    20000      0.879217      0.000236359      0.878981           0.8745          0.00429284     3.52329
72.9688    20000      0.869198      0.000231428      0.868967           0.864563        0.00421844     3.52646
73.2812    20000      0.85918       0.000226561      0.858953           0.854625        0.00414475     3.52969
73.5938    20000      0.849162      0.000221758      0.84894            0.844688        0.00407177     3.53295
73.9062    20000      0.839145      0.000217017      0.838928           0.83475         0.00399949     3.53626
74.2188    20000      0.829129      0.000212338      0.828917           0.824813        0.0039279      3.53962
74.5312    20000      0.819113      0.000207722      0.818906           0.814875        0.00385701     3.54302
74.8438    20000      0.809099      0.000203167      0.808896           0.804938        0.00378681     3.54647
75.1562    20000      0.799085      0.000198672      0.798886           0.795           0.0037173      3.54998
75.4688    20000      0.789072      0.000194239      0.788878           0.785063        0.00364847     3.55353
75.7812    20000      0.779059      0.000189865      0.77887            0.775125        0.00358032     3.55713
76.0938    20000      0.769048      0.000185552      0.768862           0.765188        0.00351284     3.56078
76.4062    20000      0.759037      0.000181297      0.758856           0.75525         0.00344604     3.56449
76.7188    20000      0.749027      0.000177101      0.74885            0.745313        0.0033799      3.56825
77.0312    20000      0.739017      0.000172964      0.738844           0.735375        0.00331443     3.57207
77.3438    20000      0.729009      0.000168884      0.72884            0.725438        0.00324962     3.57594
77.6562    20000      0.719001      0.000164862      0.718836           0.7155          0.00318547     3.57987
77.9688    20000      0.708993      0.000160898      0.708832           0.705563        0.00312197     3.58386
78.2812    20000      0.698987      0.000156989      0.69883            0.695625        0.00305912     3.58791
78.5938    20000      0.688981      0.000153138      0.688828           0.685688        0.00299691     3.59202
78.9062    20000      0.678976      0.000149342      0.678826           0.67575         0.00293535     3.5962
79.2188    20000      0.668971      0.000145601      0.668826           0.665813        0.00287443     3.60044
79.5312    20000      0.658967      0.000141916      0.658826           0.655875        0.00281414     3.60474
79.8438    20000      0.648964      0.000138285      0.648826           0.645938        0.00275448     3.60912
80.1562    20000      0.638962      0.000134708      0.638827           0.636           0.00269545     3.61356
80.4688    20000      0.62896       0.000131186      0.628829           0.626063        0.00263704     3.61807
80.7812    20000      0.618959      0.000127717      0.618832           0.616125        0.00257926     3.62266
81.0938    20000      0.608959      0.000124301      0.608835           0.606187        0.00252209     3.62732
81.4062    20000      0.598959      0.000120937      0.598838           0.59625         0.00246553     3.63206
81.7188    20000      0.58896       0.000117627      0.588843           0.586312        0.00240958     3.63688
82.0312    20000      0.578962      0.000114368      0.578848           0.576375        0.00235423     3.64178
82.3438    20000      0.568964      0.000111161      0.568853           0.566437        0.00229949     3.64676
82.6562    20000      0.558967      0.000108005      0.558859           0.5565          0.00224534     3.65183
82.9688    20000      0.548971      0.0001049        0.548866           0.546562        0.00219179     3.65699
83.2812    20000      0.538975      0.000101845      0.538874           0.536625        0.00213883     3.66223
83.5938    20000      0.52898       9.88405e-05      0.528881           0.526687        0.00208645     3.66757
83.9062    20000      0.518986      9.58859e-05      0.51889            0.51675         0.00203465     3.673
84.2188    20000      0.508992      9.29806e-05      0.508899           0.506812        0.00198343     3.67854
