#Xaxis_A5  YlengthA5  discharge_A5  dischargeEFF_A5  dischargeINEFF_A5  rech_Moulins_A5  rech_meltR_A5  P_A5
45.4688    20000      49.5081       0.70053          48.8076            49.2188          0.263343       2.06618
45.7812    20000      49.2229       0.689928         48.533             48.9375          0.2597         2.0675
46.0938    20000      48.9377       0.679451         48.2582            48.6562          0.256091       2.06883
46.4062    20000      48.6525       0.669097         47.9834            48.375           0.252516       2.07017
46.7188    20000      48.3673       0.658864         47.7085            48.0938          0.248975       2.07154
47.0312    20000      48.0822       0.648751         47.4335            47.8125          0.245466       2.07292
47.3438    20000      47.7972       0.638758         47.1584            47.5312          0.241991       2.07432
47.6562    20000      47.5121       0.628881         46.8833            47.25            0.238549       2.07573
47.9688    20000      47.2271       0.61912          46.608             46.9688          0.235139       2.07716
48.2812    20000      46.9422       0.609474         46.3327            46.6875          0.231762       2.07861
48.5938    20000      46.6573       0.599941         46.0573            46.4062          0.228417       2.08007
48.9062    20000      46.3724       0.590521         45.7818            46.125           0.225104       2.08155
49.2188    20000      46.0875       0.58121          45.5063            45.8438          0.221822       2.08305
49.5312    20000      45.8027       0.57201          45.2307            45.5625          0.218572       2.08456
49.8438    20000      45.5179       0.562917         44.955             45.2812          0.215354       2.08609
50.1562    20000      45.2331       0.553932         44.6792            45               0.212166       2.08764
50.4688    20000      44.9484       0.545052         44.4034            44.7188          0.209009       2.08921
50.7812    20000      44.6637       0.536277         44.1275            44.4375          0.205883       2.09079
51.0938    20000      44.3791       0.527606         43.8515            44.1562          0.202787       2.09239
51.4062    20000      44.0945       0.519037         43.5754            43.875           0.199721       2.09401
51.7188    20000      43.8099       0.510569         43.2993            43.5938          0.196686       2.09564
52.0312    20000      43.5253       0.502201         43.0231            43.3125          0.19368        2.0973
52.3438    20000      43.2408       0.493933         42.7469            43.0312          0.190704       2.09897
52.6562    20000      42.9563       0.485763         42.4706            42.75            0.187757       2.10066
52.9688    20000      42.6719       0.47769          42.1942            42.4688          0.184839       2.10236
53.2812    20000      42.3874       0.469713         41.9177            42.1875          0.18195        2.10409
53.5938    20000      42.1031       0.461831         41.6412            41.9062          0.179091       2.10583
53.9062    20000      41.8187       0.454044         41.3646            41.625           0.17626        2.10759
54.2188    20000      41.5344       0.446349         41.088             41.3438          0.173457       2.10937
54.5312    20000      41.2501       0.438747         40.8113            41.0625          0.170683       2.11117
54.8438    20000      40.9658       0.431236         40.5346            40.7812          0.167936       2.11299
55.1562    20000      40.6816       0.423815         40.2577            40.5             0.165218       2.11483
55.4688    20000      40.3974       0.416484         39.9809            40.2188          0.162527       2.11669
55.7812    20000      40.1132       0.409242         39.7039            39.9375          0.159864       2.11856
56.0938    20000      39.829        0.402087         39.4269            39.6562          0.157229       2.12046
56.4062    20000      39.5449       0.395019         39.1499            39.375           0.15462        2.12237
56.7188    20000      39.2608       0.388037         38.8728            39.0938          0.152039       2.1243
57.0312    20000      38.9768       0.381141         38.5956            38.8125          0.149485       2.12626
57.3438    20000      38.6927       0.374328         38.3184            38.5312          0.146957       2.12823
57.6562    20000      38.4087       0.3676           38.0411            38.25            0.144456       2.13023
57.9688    20000      38.1248       0.360954         37.7638            37.9688          0.141982       2.13224
58.2812    20000      37.8408       0.35439          37.4864            37.6875          0.139533       2.13428
58.5938    20000      37.5569       0.347907         37.209             37.4062          0.137111       2.13634
58.9062    20000      37.273        0.341505         36.9315            37.125           0.134715       2.13841
59.2188    20000      36.9892       0.335182         36.654             36.8438          0.132345       2.14051
59.5312    20000      36.7054       0.328939         36.3764            36.5625          0.13           2.14263
59.8438    20000      36.4216       0.322773         36.0988            36.2812          0.127681       2.14478
60.1562    20000      36.1378       0.316686         35.8211            36               0.125387       2.14694
60.4688    20000      35.854        0.310675         35.5434            35.7188          0.123119       2.14913
60.7812    20000      35.5703       0.30474          35.2656            35.4375          0.120875       2.15134
61.0938    20000      35.2866       0.298881         34.9878            35.1562          0.118657       2.15357
61.4062    20000      35.003        0.293096         34.7099            34.875           0.116463       2.15582
61.7188    20000      34.7193       0.287386         34.432             34.5938          0.114294       2.1581
62.0312    20000      34.4357       0.281749         34.154             34.3125          0.112149       2.1604
62.3438    20000      34.1522       0.276185         33.876             34.0312          0.110029       2.16272
62.6562    20000      33.8686       0.270693         33.5979            33.75            0.107933       2.16507
62.9688    20000      33.5851       0.265273         33.3198            33.4688          0.105861       2.16744
63.2812    20000      33.3016       0.259923         33.0417            33.1875          0.103814       2.16984
63.5938    20000      33.0181       0.254644         32.7635            32.9062          0.10179        2.17226
63.9062    20000      32.7347       0.249435         32.4852            32.625           0.0997894      2.17471
64.2188    20000      32.4512       0.244295         32.2069            32.3438          0.0978128      2.17718
64.5312    20000      32.1678       0.239223         31.9286            32.0625          0.0958597      2.17968
64.8438    20000      31.8845       0.23422          31.6503            31.7812          0.0939299      2.1822
65.1562    20000      31.6011       0.229283         31.3718            31.5             0.0920233      2.18475
65.4688    20000      31.3178       0.224414         31.0934            31.2188          0.0901399      2.18733
65.7812    20000      31.0345       0.219611         30.8149            30.9375          0.0882794      2.18993
66.0938    20000      30.7512       0.214873         30.5364            30.6562          0.0864418      2.19257
66.4062    20000      30.468        0.210201         30.2578            30.375           0.0846269      2.19522
66.7188    20000      30.1848       0.205593         29.9792            30.0938          0.0828347      2.19791
67.0312    20000      29.9016       0.20105          29.7005            29.8125          0.0810649      2.20063
67.3438    20000      29.6184       0.19657          29.4218            29.5312          0.0793175      2.20337
67.6562    20000      29.3353       0.192153         29.1431            29.25            0.0775924      2.20615
67.9688    20000      29.0521       0.187799         28.8643            28.9688          0.0758895      2.20895
68.2812    20000      28.769        0.183507         28.5855            28.6875          0.0742086      2.21178
68.5938    20000      28.486        0.179276         28.3067            28.4062          0.0725496      2.21465
68.9062    20000      28.2029       0.175107         28.0278            28.125           0.0709125      2.21755
69.2188    20000      27.9199       0.170998         27.7489            27.8438          0.069297       2.22047
69.5312    20000      27.6369       0.166949         27.4699            27.5625          0.0677032      2.22343
69.8438    20000      27.3539       0.16296          27.191             27.2812          0.0661308      2.22643
70.1562    20000      27.071        0.15903          26.9119            27               0.0645798      2.22945
70.4688    20000      26.788        0.155159         26.6329            26.7188          0.0630501      2.23251
70.7812    20000      26.5051       0.151346         26.3538            26.4375          0.0615416      2.2356
71.0938    20000      26.2222       0.147591         26.0747            26.1562          0.0600541      2.23873
71.4062    20000      25.9394       0.143893         25.7955            25.875           0.0585876      2.24189
